"sharks_id","name","tagIdNumber","species","gender","stageOfLife","length","weight","tagDate","tagLocation","description","pings__active","pings__id","pings__datetime","pings__tz_datetime","pings__latitude","pings__longitude"
"41","Mary Lee","121425","White Shark (Carcharodon carcharias)","Female","Mature","16 ft. (4.9 meters)","3456 lbs.","17 September 2012","Cape Cod","Mary Lee was named after OCEARCH expedition leader Chris Fischer's mother.   “My parents have done so much. I was waiting and waiting for a special shark to name after her and this is truly the most historic and legendary fish I have ever been a part of and it set the tone for Cape Cod,“ says Chris.","1","61865","12 May 2017 5:56:18 PM","12 May 2017 5:56:18 PM +0900","36.65662","-72.01635"
"","","","","","","","","","","","1","61439","23 April 2017 8:49:00 AM","23 April 2017 8:49:00 AM +0900","31.1444","-77.10802"
"","","","","","","","","","","","1","61164","15 April 2017 4:00:59 AM","15 April 2017 4:00:59 AM +0900","30.80375","-79.05285"
"","","","","","","","","","","","1","61113","13 April 2017 6:03:06 AM","13 April 2017 6:03:06 AM +0900","31.32171","-79.07424"
"","","","","","","","","","","","1","61087","12 April 2017 12:42:59 AM","12 April 2017 12:42:59 AM +0900","31.16405","-78.93902"
"","","","","","","","","","","","1","61086","12 April 2017 12:42:59 AM","12 April 2017 12:42:59 AM +0900","31.16405","-78.93902"
"","","","","","","","","","","","1","60498","20 March 2017 1:57:12 AM","20 March 2017 1:57:12 AM +0900","31.22323","-78.62511"
"","","","","","","","","","","","1","60475","19 March 2017 5:44:32 AM","19 March 2017 5:44:32 AM +0900","31.22249","-78.86723"
"","","","","","","","","","","","1","60472","19 March 2017 4:06:40 AM","19 March 2017 4:06:40 AM +0900","31.19112","-78.94279"
"","","","","","","","","","","","1","60314","10 March 2017 7:06:56 AM","10 March 2017 7:06:56 AM +0900","31.0747","-79.20387"
"","","","","","","","","","","","1","60273","9 March 2017 4:18:30 AM","9 March 2017 4:18:30 AM +0900","31.27604","-79.05368"
"","","","","","","","","","","","1","60217","6 March 2017 10:38:24 AM","6 March 2017 10:38:24 AM +0900","31.12612","-79.12704"
"","","","","","","","","","","","1","60205","6 March 2017 7:11:02 AM","6 March 2017 7:11:02 AM +0900","31.23092","-79.1007"
"","","","","","","","","","","","1","60170","5 March 2017 7:29:05 AM","5 March 2017 7:29:05 AM +0900","31.30535","-79.23541"
"","","","","","","","","","","","1","60105","1 March 2017 8:15:49 AM","1 March 2017 8:15:49 AM +0900","31.14577","-79.12772"
"","","","","","","","","","","","1","60022","25 February 2017 1:34:34 AM","25 February 2017 1:34:34 AM +0900","31.28468","-79.33033"
"","","","","","","","","","","","1","60011","24 February 2017 7:55:35 AM","24 February 2017 7:55:35 AM +0900","31.14939","-79.26378"
"","","","","","","","","","","","1","59995","23 February 2017 9:04:08 AM","23 February 2017 9:04:08 AM +0900","31.30975","-79.03703"
"","","","","","","","","","","","1","59993","23 February 2017 8:23:20 AM","23 February 2017 8:23:20 AM +0900","31.30828","-79.03818"
"","","","","","","","","","","","1","59991","23 February 2017 8:01:59 AM","23 February 2017 8:01:59 AM +0900","31.29981","-79.03267"
"","","","","","","","","","","","1","59895","19 February 2017 8:30:08 AM","19 February 2017 8:30:08 AM +0900","31.15287","-78.95188"
"","","","","","","","","","","","1","59879","18 February 2017 9:57:45 AM","18 February 2017 9:57:45 AM +0900","31.09694","-78.98688"
"","","","","","","","","","","","1","59877","18 February 2017 9:00:28 AM","18 February 2017 9:00:28 AM +0900","31.08611","-78.99077"
"","","","","","","","","","","","1","59876","18 February 2017 8:43:19 AM","18 February 2017 8:43:19 AM +0900","31.08337","-78.98044"
"","","","","","","","","","","","1","59788","15 February 2017 11:11:03 AM","15 February 2017 11:11:03 AM +0900","31.27357","-78.95681"
"","","","","","","","","","","","1","59787","15 February 2017 9:38:19 AM","15 February 2017 9:38:19 AM +0900","31.26519","-78.98256"
"","","","","","","","","","","","1","59769","14 February 2017 8:28:50 PM","14 February 2017 8:28:50 PM +0900","31.30753","-78.97902"
"","","","","","","","","","","","1","59763","14 February 2017 6:57:02 PM","14 February 2017 6:57:02 PM +0900","31.29869","-78.98539"
"","","","","","","","","","","","1","59750","14 February 2017 7:41:25 AM","14 February 2017 7:41:25 AM +0900","31.05558","-79.05107"
"","","","","","","","","","","","1","59742","14 February 2017 7:22:45 AM","14 February 2017 7:22:45 AM +0900","31.0598","-79.04975"
"","","","","","","","","","","","1","59741","14 February 2017 7:03:12 AM","14 February 2017 7:03:12 AM +0900","31.08401","-78.91374"
"","","","","","","","","","","","1","59715","13 February 2017 11:57:28 AM","13 February 2017 11:57:28 AM +0900","31.16867","-78.86118"
"","","","","","","","","","","","1","59416","4 February 2017 7:52:36 AM","4 February 2017 7:52:36 AM +0900","31.29548","-79.32794"
"","","","","","","","","","","","1","59412","4 February 2017 7:51:11 AM","4 February 2017 7:51:11 AM +0900","31.29573","-79.31753"
"","","","","","","","","","","","1","59411","4 February 2017 7:40:51 AM","4 February 2017 7:40:51 AM +0900","31.29574","-79.31754"
"","","","","","","","","","","","1","59286","30 January 2017 4:51:23 AM","30 January 2017 4:51:23 AM +0900","31.46324","-79.06938"
"","","","","","","","","","","","1","59138","25 January 2017 10:58:47 AM","25 January 2017 10:58:47 AM +0900","31.44671","-78.93339"
"","","","","","","","","","","","1","59067","23 January 2017 8:19:21 AM","23 January 2017 8:19:21 AM +0900","31.87147","-77.35744"
"","","","","","","","","","","","1","59030","22 January 2017 6:40:18 AM","22 January 2017 6:40:18 AM +0900","31.63496","-78.7792"
"","","","","","","","","","","","1","59026","22 January 2017 4:39:02 AM","22 January 2017 4:39:02 AM +0900","31.51787","-79.10326"
"","","","","","","","","","","","1","59006","21 January 2017 11:34:07 AM","21 January 2017 11:34:07 AM +0900","31.51488","-79.13822"
"","","","","","","","","","","","1","58600","18 January 2017 9:18:07 AM","18 January 2017 9:18:07 AM +0900","31.3104","-78.96395"
"","","","","","","","","","","","1","58567","17 January 2017 8:41:21 AM","17 January 2017 8:41:21 AM +0900","31.54169","-78.49156"
"","","","","","","","","","","","1","58525","16 January 2017 9:24:31 AM","16 January 2017 9:24:31 AM +0900","31.49061","-78.69292"
"","","","","","","","","","","","1","58526","16 January 2017 9:10:24 AM","16 January 2017 9:10:24 AM +0900","31.4859","-78.69695"
"","","","","","","","","","","","1","58505","15 January 2017 10:41:00 PM","15 January 2017 10:41:00 PM +0900","31.48697","-78.84183"
"","","","","","","","","","","","1","58450","14 January 2017 8:48:42 AM","14 January 2017 8:48:42 AM +0900","31.41303","-79.31047"
"","","","","","","","","","","","1","58354","12 January 2017 9:08:46 AM","12 January 2017 9:08:46 AM +0900","31.02384","-78.19803"
"","","","","","","","","","","","1","58252","9 January 2017 5:35:45 AM","9 January 2017 5:35:45 AM +0900","31.50544","-77.08085"
"","","","","","","","","","","","1","58238","8 January 2017 7:32:35 AM","8 January 2017 7:32:35 AM +0900","31.95577","-77.37063"
"","","","","","","","","","","","1","58203","7 January 2017 12:05:33 AM","7 January 2017 12:05:33 AM +0900","32.30046","-78.19735"
"","","","","","","","","","","","1","58202","6 January 2017 11:16:13 PM","6 January 2017 11:16:13 PM +0900","32.29535","-78.20633"
"","","","","","","","","","","","1","58181","6 January 2017 12:28:03 AM","6 January 2017 12:28:03 AM +0900","32.34934","-78.37099"
"","","","","","","","","","","","1","58075","2 January 2017 7:22:33 AM","2 January 2017 7:22:33 AM +0900","31.3761","-79.2295"
"","","","","","","","","","","","1","57969","30 December 2016 5:48:41 AM","30 December 2016 5:48:41 AM +0900","31.44543","-78.6739"
"","","","","","","","","","","","1","57694","22 December 2016 8:21:32 PM","22 December 2016 8:21:32 PM +0900","31.47899","-78.95284"
"","","","","","","","","","","","1","57579","19 December 2016 7:28:07 AM","19 December 2016 7:28:07 AM +0900","31.67428","-78.8833"
"","","","","","","","","","","","1","57578","19 December 2016 7:19:38 AM","19 December 2016 7:19:38 AM +0900","31.59617","-78.8922"
"","","","","","","","","","","","1","57545","18 December 2016 9:54:58 AM","18 December 2016 9:54:58 AM +0900","31.26918","-79.33872"
"","","","","","","","","","","","1","57468","15 December 2016 5:17:22 AM","15 December 2016 5:17:22 AM +0900","30.91614","-78.65992"
"","","","","","","","","","","","1","57446","14 December 2016 7:40:20 AM","14 December 2016 7:40:20 AM +0900","31.50635","-76.00479"
"","","","","","","","","","","","1","57444","14 December 2016 6:13:53 AM","14 December 2016 6:13:53 AM +0900","31.69623","-75.66385"
"","","","","","","","","","","","1","57431","13 December 2016 8:45:31 PM","13 December 2016 8:45:31 PM +0900","31.73659","-75.96664"
"","","","","","","","","","","","1","57370","12 December 2016 4:05:31 AM","12 December 2016 4:05:31 AM +0900","31.79232","-79.19172"
"","","","","","","","","","","","1","57364","11 December 2016 11:04:27 PM","11 December 2016 11:04:27 PM +0900","31.75234","-79.176"
"","","","","","","","","","","","1","57027","2 December 2016 4:23:26 AM","2 December 2016 4:23:26 AM +0900","31.90583","-77.85454"
"","","","","","","","","","","","1","56594","22 November 2016 12:56:49 AM","22 November 2016 12:56:49 AM +0900","32.00863","-78.87824"
"","","","","","","","","","","","1","56590","22 November 2016 12:11:18 AM","22 November 2016 12:11:18 AM +0900","32.05949","-79.81638"
"","","","","","","","","","","","1","56209","11 November 2016 10:17:02 PM","11 November 2016 10:17:02 PM +0900","31.9757","-80.19268"
"","","","","","","","","","","","1","56190","11 November 2016 12:43:04 PM","11 November 2016 12:43:04 PM +0900","32.09201","-79.94613"
"","","","","","","","","","","","1","56180","11 November 2016 7:23:11 AM","11 November 2016 7:23:11 AM +0900","32.15312","-79.86559"
"","","","","","","","","","","","1","56154","10 November 2016 9:43:53 PM","10 November 2016 9:43:53 PM +0900","32.06022","-79.74049"
"","","","","","","","","","","","1","56150","10 November 2016 8:29:00 PM","10 November 2016 8:29:00 PM +0900","32.05051","-79.72597"
"","","","","","","","","","","","1","56133","10 November 2016 11:20:39 AM","10 November 2016 11:20:39 AM +0900","32.03591","-79.72385"
"","","","","","","","","","","","1","54138","28 September 2016 10:12:47 PM","28 September 2016 10:12:47 PM +0900","32.21759","-79.01743"
"","","","","","","","","","","","1","54134","28 September 2016 8:36:04 PM","28 September 2016 8:36:04 PM +0900","32.22172","-79.06763"
"","","","","","","","","","","","1","54099","28 September 2016 5:06:13 AM","28 September 2016 5:06:13 AM +0900","32.20899","-79.04301"
